run,budget,regime,grain,layer,hit_rate,swap_rate,lifetime_tokens
flame38m_g1_temporal,1e18,temporal,coarse 6/64,2,0.17125,0.99991,5.986
flame38m_g1_temporal,1e18,temporal,coarse 6/64,3,0.26628,0.99977,5.987
flame38m_g1_temporal,1e18,temporal,coarse 6/64,4,0.31665,0.99860,5.989
flame38m_g1_temporal,1e18,temporal,coarse 6/64,5,0.34215,0.99911,5.989
flame38m_g1_temporal,1e18,temporal,coarse 6/64,6,0.33115,0.99930,5.991
flame38m_g1_temporal,1e18,temporal,coarse 6/64,7,0.33050,0.99959,5.989
flame38m_g1_temporal,1e18,temporal,coarse 6/64,8,0.36166,0.99910,5.989
flame38m_g1_temporal,1e18,temporal,coarse 6/64,9,0.37985,0.99858,5.995
flame38m_g3_temporal,1e18,temporal,fine 18/192,2,0.18069,1.00000,17.852
flame38m_g3_temporal,1e18,temporal,fine 18/192,3,0.22358,1.00000,17.852
flame38m_g3_temporal,1e18,temporal,fine 18/192,4,0.26216,1.00000,17.852
flame38m_g3_temporal,1e18,temporal,fine 18/192,5,0.26235,1.00000,17.852
flame38m_g3_temporal,1e18,temporal,fine 18/192,6,0.26876,1.00000,17.852
flame38m_g3_temporal,1e18,temporal,fine 18/192,7,0.30407,1.00000,17.852
flame38m_g3_temporal,1e18,temporal,fine 18/192,8,0.31113,1.00000,17.852
flame38m_g3_temporal,1e18,temporal,fine 18/192,9,0.36539,1.00000,17.852
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,2,0.11391,1.00000,5.985
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,3,0.14872,1.00000,5.985
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,4,0.16229,1.00000,5.985
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,5,0.18300,1.00000,5.985
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,6,0.22725,1.00000,5.985
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,7,0.26477,0.99994,5.986
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,8,0.29271,0.99994,5.986
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,9,0.31738,0.99982,5.986
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,10,0.38032,0.99921,5.990
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,11,0.40370,0.99890,5.992
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,12,0.38968,0.99890,5.992
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,13,0.37497,0.99896,5.991
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,14,0.42398,0.99805,5.997
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,2,0.45029,0.99993,17.852
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,3,0.58489,0.99983,17.863
g3_tmoe_s0_1e16_ant0p02,1e16,temporal,fine 18/192,4,0.63067,0.99953,17.873
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,2,0.49286,0.99978,17.870
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,3,0.60738,0.99973,17.865
g3_tmoe_s0_1e16_ant0p02_g0p9,1e16,temporal,fine 18/192,4,0.63143,0.99963,17.874
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,2,0.71976,0.99761,17.925
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,3,0.83610,0.98847,18.163
g3_tmoe_s0_1e16_ant0p1,1e16,temporal,fine 18/192,4,0.85990,0.98671,18.143
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,2,0.80083,0.99644,17.944
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,3,0.79026,0.99515,17.947
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,4,0.78448,0.99511,17.972
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,2,0.36963,0.99994,17.855
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,3,0.32665,0.99998,17.853
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,4,0.44311,0.99995,17.852
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,2,0.25707,0.99997,17.853
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,3,0.31200,0.99995,17.852
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,4,0.40391,0.99995,17.853
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,2,0.27524,0.99996,17.854
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,3,0.28365,0.99999,17.852
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,4,0.34762,0.99998,17.852
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,2,0.27751,0.99998,17.852
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,3,0.35415,0.99998,17.852
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,4,0.39493,0.99998,17.852
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,2,0.20011,0.99999,17.852
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,3,0.26512,0.99998,17.853
g3_tmoe_s0_1e16_mom,1e16,temporal,fine 18/192,4,0.38611,0.99999,17.852
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,2,0.19472,0.99998,17.852
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,3,0.27210,0.99998,17.852
g3_tmoe_s0_1e16_mom_seed2,1e16,temporal,fine 18/192,4,0.37100,0.99998,17.852
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,2,0.20790,0.99999,17.852
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,3,0.28060,0.99998,17.852
g3_tmoe_s0_1e16_momg_b05,1e16,temporal,fine 18/192,4,0.36982,0.99998,17.852
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,2,0.18624,0.99998,17.852
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,3,0.27692,0.99999,17.852
g3_tmoe_s0_1e16_momr,1e16,temporal,fine 18/192,4,0.39592,0.99994,17.856
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,2,0.20781,0.99999,17.852
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,3,0.28884,0.99996,17.856
g3_tmoe_s0_1e16_momr_b1,1e16,temporal,fine 18/192,4,0.38436,0.99998,17.853
g3_tmoe_s0_1e16_momr_b2,1e16,temporal,fine 18/192,2,0.20636,0.99996,17.852
g3_tmoe_s0_1e16_momr_b2,1e16,temporal,fine 18/192,3,0.31867,0.99995,17.854
g3_tmoe_s0_1e16_momr_b2,1e16,temporal,fine 18/192,4,0.40168,0.99998,17.854
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,2,0.19249,0.99999,17.852
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,3,0.26282,0.99999,17.852
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,4,0.34581,0.99999,17.852
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,5,0.40012,0.99999,17.852
g3_tmoe_s2_1e17,1e17,temporal,fine 18/192,6,0.44554,0.99998,17.853
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,2,0.32907,0.99998,17.853
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,3,0.33297,0.99999,17.852
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,4,0.35961,0.99998,17.852
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,5,0.41171,0.99999,17.852
g3_tmoe_s2_1e17_auxfree,1e17,temporal,fine 18/192,6,0.46440,0.99999,17.852
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,2,0.31235,0.99997,17.852
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,3,0.36659,0.99997,17.854
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,4,0.41388,0.99999,17.852
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,5,0.43454,0.99996,17.852
g3_tmoe_s2_1e17_karen,1e17,temporal,fine 18/192,6,0.46692,0.99997,17.852
moe_coarse_1e19,1e19,full,coarse 6/64,2,0.11655,1.00000,5.985
moe_coarse_1e19,1e19,full,coarse 6/64,3,0.12809,1.00000,5.985
moe_coarse_1e19,1e19,full,coarse 6/64,4,0.12613,1.00000,5.985
moe_coarse_1e19,1e19,full,coarse 6/64,5,0.13978,1.00000,5.985
moe_coarse_1e19,1e19,full,coarse 6/64,6,0.16075,1.00000,5.985
moe_coarse_1e19,1e19,full,coarse 6/64,7,0.17274,0.99994,5.986
moe_coarse_1e19,1e19,full,coarse 6/64,8,0.17545,1.00000,5.985
moe_coarse_1e19,1e19,full,coarse 6/64,9,0.16822,1.00000,5.985
moe_coarse_1e19,1e19,full,coarse 6/64,10,0.17162,1.00000,5.985
moe_coarse_1e19,1e19,full,coarse 6/64,11,0.18168,0.99994,5.986
moe_coarse_1e19,1e19,full,coarse 6/64,12,0.19780,0.99976,5.987
moe_coarse_1e19,1e19,full,coarse 6/64,13,0.19934,0.99994,5.986
moe_coarse_1e19,1e19,full,coarse 6/64,14,0.25028,0.99933,5.989
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,2,0.11213,1.00000,17.852
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,3,0.13508,1.00000,17.852
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,4,0.15953,1.00000,17.852
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,5,0.18246,1.00000,17.852
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,6,0.19443,1.00000,17.852
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,7,0.20603,1.00000,17.852
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,8,0.22884,1.00000,17.852
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,9,0.24465,1.00000,17.852
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,10,0.28595,1.00000,17.852
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,11,0.30155,1.00000,17.852
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,12,0.29938,1.00000,17.852
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,13,0.32552,1.00000,17.852
temporal_fine_g3_1e19,1e19,temporal,fine 18/192,14,0.38422,1.00000,17.852
