label,run,budget,layer,variant,split,feature,null_type,median_AUC_floor,n_experts
flame38m_g1_moe,flame38m_g1_moe,1e18,2,kwin,sequence,token,iid,0.5,64
flame38m_g1_moe,flame38m_g1_moe,1e18,2,kwin,sequence,token,circular,0.5008,64
flame38m_g1_moe,flame38m_g1_moe,1e18,2,kwin,sequence,context,iid,0.4996,64
flame38m_g1_moe,flame38m_g1_moe,1e18,2,kwin,sequence,context,circular,0.5005,64
flame38m_g1_moe,flame38m_g1_moe,1e18,3,kwin,sequence,token,iid,0.4986,64
flame38m_g1_moe,flame38m_g1_moe,1e18,3,kwin,sequence,token,circular,0.5001,64
flame38m_g1_moe,flame38m_g1_moe,1e18,3,kwin,sequence,context,iid,0.5007,64
flame38m_g1_moe,flame38m_g1_moe,1e18,3,kwin,sequence,context,circular,0.499,64
flame38m_g1_moe,flame38m_g1_moe,1e18,4,kwin,sequence,token,iid,0.4993,64
flame38m_g1_moe,flame38m_g1_moe,1e18,4,kwin,sequence,token,circular,0.4999,64
flame38m_g1_moe,flame38m_g1_moe,1e18,4,kwin,sequence,context,iid,0.4994,64
flame38m_g1_moe,flame38m_g1_moe,1e18,4,kwin,sequence,context,circular,0.5012,64
flame38m_g1_moe,flame38m_g1_moe,1e18,5,kwin,sequence,token,iid,0.5002,64
flame38m_g1_moe,flame38m_g1_moe,1e18,5,kwin,sequence,token,circular,0.5001,64
flame38m_g1_moe,flame38m_g1_moe,1e18,5,kwin,sequence,context,iid,0.4997,64
flame38m_g1_moe,flame38m_g1_moe,1e18,5,kwin,sequence,context,circular,0.4999,64
flame38m_g1_moe,flame38m_g1_moe,1e18,6,kwin,sequence,token,iid,0.4989,64
flame38m_g1_moe,flame38m_g1_moe,1e18,6,kwin,sequence,token,circular,0.5004,64
flame38m_g1_moe,flame38m_g1_moe,1e18,6,kwin,sequence,context,iid,0.4986,64
flame38m_g1_moe,flame38m_g1_moe,1e18,6,kwin,sequence,context,circular,0.5006,64
flame38m_g1_moe,flame38m_g1_moe,1e18,7,kwin,sequence,token,iid,0.5005,64
flame38m_g1_moe,flame38m_g1_moe,1e18,7,kwin,sequence,token,circular,0.5001,64
flame38m_g1_moe,flame38m_g1_moe,1e18,7,kwin,sequence,context,iid,0.4998,64
flame38m_g1_moe,flame38m_g1_moe,1e18,7,kwin,sequence,context,circular,0.5013,64
flame38m_g1_moe,flame38m_g1_moe,1e18,8,kwin,sequence,token,iid,0.4993,64
flame38m_g1_moe,flame38m_g1_moe,1e18,8,kwin,sequence,token,circular,0.5004,64
flame38m_g1_moe,flame38m_g1_moe,1e18,8,kwin,sequence,context,iid,0.4978,64
flame38m_g1_moe,flame38m_g1_moe,1e18,8,kwin,sequence,context,circular,0.5009,64
flame38m_g1_moe,flame38m_g1_moe,1e18,9,kwin,sequence,token,iid,0.4994,64
flame38m_g1_moe,flame38m_g1_moe,1e18,9,kwin,sequence,token,circular,0.5001,64
flame38m_g1_moe,flame38m_g1_moe,1e18,9,kwin,sequence,context,iid,0.5003,64
flame38m_g1_moe,flame38m_g1_moe,1e18,9,kwin,sequence,context,circular,0.4995,64
flame38m_g1_moe,flame38m_g1_moe,1e18,2,kfull,sequence,token,iid,0.4997,64
flame38m_g1_moe,flame38m_g1_moe,1e18,2,kfull,sequence,token,circular,0.5008,64
flame38m_g1_moe,flame38m_g1_moe,1e18,2,kfull,sequence,context,iid,0.5002,64
flame38m_g1_moe,flame38m_g1_moe,1e18,2,kfull,sequence,context,circular,0.5002,64
flame38m_g1_moe,flame38m_g1_moe,1e18,3,kfull,sequence,token,iid,0.499,64
flame38m_g1_moe,flame38m_g1_moe,1e18,3,kfull,sequence,token,circular,0.5001,64
flame38m_g1_moe,flame38m_g1_moe,1e18,3,kfull,sequence,context,iid,0.502,64
flame38m_g1_moe,flame38m_g1_moe,1e18,3,kfull,sequence,context,circular,0.4981,64
flame38m_g1_moe,flame38m_g1_moe,1e18,4,kfull,sequence,token,iid,0.4992,64
flame38m_g1_moe,flame38m_g1_moe,1e18,4,kfull,sequence,token,circular,0.4999,64
flame38m_g1_moe,flame38m_g1_moe,1e18,4,kfull,sequence,context,iid,0.5008,64
flame38m_g1_moe,flame38m_g1_moe,1e18,4,kfull,sequence,context,circular,0.5009,64
flame38m_g1_moe,flame38m_g1_moe,1e18,5,kfull,sequence,token,iid,0.4978,64
flame38m_g1_moe,flame38m_g1_moe,1e18,5,kfull,sequence,token,circular,0.5001,64
flame38m_g1_moe,flame38m_g1_moe,1e18,5,kfull,sequence,context,iid,0.5005,64
flame38m_g1_moe,flame38m_g1_moe,1e18,5,kfull,sequence,context,circular,0.4991,64
flame38m_g1_moe,flame38m_g1_moe,1e18,6,kfull,sequence,token,iid,0.4978,64
flame38m_g1_moe,flame38m_g1_moe,1e18,6,kfull,sequence,token,circular,0.5004,64
flame38m_g1_moe,flame38m_g1_moe,1e18,6,kfull,sequence,context,iid,0.4993,64
flame38m_g1_moe,flame38m_g1_moe,1e18,6,kfull,sequence,context,circular,0.4986,64
flame38m_g1_moe,flame38m_g1_moe,1e18,7,kfull,sequence,token,iid,0.5012,64
flame38m_g1_moe,flame38m_g1_moe,1e18,7,kfull,sequence,token,circular,0.5001,64
flame38m_g1_moe,flame38m_g1_moe,1e18,7,kfull,sequence,context,iid,0.5012,64
flame38m_g1_moe,flame38m_g1_moe,1e18,7,kfull,sequence,context,circular,0.5,64
flame38m_g1_moe,flame38m_g1_moe,1e18,8,kfull,sequence,token,iid,0.4994,64
flame38m_g1_moe,flame38m_g1_moe,1e18,8,kfull,sequence,token,circular,0.5004,64
flame38m_g1_moe,flame38m_g1_moe,1e18,8,kfull,sequence,context,iid,0.4993,64
flame38m_g1_moe,flame38m_g1_moe,1e18,8,kfull,sequence,context,circular,0.5001,64
flame38m_g1_moe,flame38m_g1_moe,1e18,9,kfull,sequence,token,iid,0.4988,64
flame38m_g1_moe,flame38m_g1_moe,1e18,9,kfull,sequence,token,circular,0.5001,64
flame38m_g1_moe,flame38m_g1_moe,1e18,9,kfull,sequence,context,iid,0.4988,64
flame38m_g1_moe,flame38m_g1_moe,1e18,9,kfull,sequence,context,circular,0.4989,64
flame38m_g1_moe,flame38m_g1_moe,1e18,2,base,sequence,token,iid,0.5,64
flame38m_g1_moe,flame38m_g1_moe,1e18,2,base,sequence,token,circular,0.5008,64
flame38m_g1_moe,flame38m_g1_moe,1e18,2,base,sequence,context,iid,0.4983,64
flame38m_g1_moe,flame38m_g1_moe,1e18,2,base,sequence,context,circular,0.4995,64
flame38m_g1_moe,flame38m_g1_moe,1e18,3,base,sequence,token,iid,0.5004,64
