run_name,arm,seed,schedule,test_CE,wall_s
t1_A0_s0_1e16_seed1234,A0,1234,none,4.027487E+00,3961
t1_A1_s0_1e16_seed1234,A1,1234,2:18;3:18;4:18,4.065200E+00,3945
t1_A5_s0_1e16_seed1234,A5,1234,"2:18,3:18",4.048504E+00,3814
t1_A7_s0_1e16_seed1234,A7,1234,"2:76,3:76,4:76",4.051460E+00,3827
t1_A2_s0_1e16_seed1234,A2,1234,2:18,4.039245E+00,4526
t1_A3_s0_1e16_seed1234,A3,1234,3:18,4.015452E+00,3847
t1_A4_s0_1e16_seed1234,A4,1234,4:18,4.037611E+00,3835
t1_A6_s0_1e16_seed1234,A6,1234,3:18;4:18,4.047503E+00,3888
t1_A0_s0_1e16_seed2,A0,2,none,4.023480E+00,3849
t1_A1_s0_1e16_seed2,A1,2,"2:18,3:18,4:18",4.059073E+00,3802
t1_A5_s0_1e16_seed2,A5,2,"2:18,3:18",4.045978E+00,3910
t1_A6_s0_1e16_seed2,A6,2,"3:18,4:18",4.051955E+00,3865
t1_A7_s0_1e16_seed2,A7,2,"2:76,3:76,4:76",4.079858E+00,3991
t1_A2_s0_1e16_seed2,A2,2,2:18,4.042849E+00,3969
t1_A3_s0_1e16_seed2,A3,2,3:18,4.029680E+00,3927
t1_A4_s0_1e16_seed2,A4,2,4:18,4.034762E+00,3851
t1_A0_s0_1e16_seed3,A0,3,none,4.003502E+00,4021
t1_A1_s0_1e16_seed3,A1,3,"2:18,3:18,4:18",4.055913E+00,3848
t1_A5_s0_1e16_seed3,A5,3,"2:18,3:18",4.053097E+00,3893
t1_A6_s0_1e16_seed3,A6,3,"3:18,4:18",4.043164E+00,3898
t1_A7_s0_1e16_seed3,A7,3,"2:76,3:76,4:76",4.040234E+00,3837
t1_A2_s0_1e16_seed3,A2,3,2:18,4.022589E+00,3882
t1_A3_s0_1e16_seed3,A3,3,3:18,4.017184E+00,3819
