run_name,arm,seed,schedule,test_CE,wall_s
t1_A6_s0_1e16_seed1234,A6,1234,DEFERRED,DEFERRED_window_too_short,0
t1_A0_s0_1e16_seed1234,A0,1234,none,4.027487E+00,3961
t1_A1_s0_1e16_seed1234,A1,1234,2:18;3:18;4:18,4.065200E+00,3945
t1_A5_s0_1e16_seed1234,A5,1234,2:18;3:18,4.048504E+00,3814
t1_A2_s0_1e16_seed1234,A2,1234,NOT_RUN,NOT_RUN_window_too_short,0
t1_A2_s0_1e16_seed2,A2,2,NOT_RUN,NOT_RUN_window_too_short,0
t1_A2_s0_1e16_seed3,A2,3,NOT_RUN,NOT_RUN_window_too_short,0
t1_A3_s0_1e16_seed1234,A3,1234,NOT_RUN,NOT_RUN_window_too_short,0
t1_A3_s0_1e16_seed2,A3,2,NOT_RUN,NOT_RUN_window_too_short,0
t1_A3_s0_1e16_seed3,A3,3,NOT_RUN,NOT_RUN_window_too_short,0
t1_A4_s0_1e16_seed1234,A4,1234,NOT_RUN,NOT_RUN_window_too_short,0
t1_A4_s0_1e16_seed2,A4,2,NOT_RUN,NOT_RUN_window_too_short,0
t1_A4_s0_1e16_seed3,A4,3,NOT_RUN,NOT_RUN_window_too_short,0
t1_A0_s0_1e16_seed2,A0,2,NOT_RUN,NOT_RUN_window_too_short,0
t1_A0_s0_1e16_seed3,A0,3,NOT_RUN,NOT_RUN_window_too_short,0
t1_A1_s0_1e16_seed2,A1,2,NOT_RUN,NOT_RUN_window_too_short,0
t1_A1_s0_1e16_seed3,A1,3,NOT_RUN,NOT_RUN_window_too_short,0
t1_A5_s0_1e16_seed2,A5,2,NOT_RUN,NOT_RUN_window_too_short,0
t1_A5_s0_1e16_seed3,A5,3,NOT_RUN,NOT_RUN_window_too_short,0
t1_A6_s0_1e16_seed2,A6,2,NOT_RUN,NOT_RUN_window_too_short,0
t1_A6_s0_1e16_seed3,A6,3,NOT_RUN,NOT_RUN_window_too_short,0
t1_A7_s0_1e16_seed2,A7,2,NOT_RUN,NOT_RUN_window_too_short,0
t1_A7_s0_1e16_seed3,A7,3,NOT_RUN,NOT_RUN_window_too_short,0
t1_A7_s0_1e16_seed1234,A7,1234,2:76;3:76;4:76,4.051460E+00,3827
